,City,Cloudiness,Humidity,Lat,Lng,Max Temp,Wind Speed
500,sorong,0,100,-0.86,131.25,82.38,3.4
501,santa fe,32,55,-31.62,-60.7,51.33,6.2
502,bafq,32,39,31.6,55.4,75.0,3.29
503,fukue,75,73,35.03,136.69,75.2,4.7
504,buchanan,75,94,5.88,-10.05,75.2,4.7
505,bourail,92,99,-21.57,165.5,67.44,3.4
506,kpalime,92,98,6.9,0.63,72.75,2.28
507,hare bay,90,93,48.86,-53.99,59.0,25.28
508,pamanukan,8,100,-6.28,107.82,82.74,13.58
509,chicama,90,88,-7.84,-79.15,64.4,5.82
510,nhulunbuy,20,58,-12.18,136.78,86.0,12.75
511,kaili,20,73,-3.46,120.21,82.92,3.18
512,havelock,1,97,34.88,-76.9,78.08,3.36
513,filingue,8,77,14.35,3.32,76.53,2.95
514,vegreville,0,87,53.5,-112.05,24.78,8.66
515,baixa grande,0,79,-11.96,-40.17,70.86,4.63
516,radstadt,20,87,47.39,13.46,42.8,3.36
517,beringovskiy,92,100,63.05,179.32,45.21,21.97
518,hawkesbury,5,80,45.61,-74.6,44.6,3.36
519,cubuk,40,58,40.24,33.03,53.6,12.75
520,dossor,92,85,47.52,52.98,55.29,11.68
521,bereda,0,87,43.27,-7.54,48.2,5.82
522,norden,8,93,53.59,7.21,50.0,4.7
523,marathon,68,100,48.72,-86.38,36.75,4.18
